"Median Household Income by State by Race of Householder","","","","","","","","","","","","","",""
"State","White","Margin Of Error","Black or African American","Margin Of Error","American Indian and Alaska Native","Margin Of Error","Asian","Margin Of Error","Native Hawaiian and Other Pacific Islander","Margin Of Error","Some Other Race","Margin Of Error","Two or More Races","Margin Of Error"
"Illinois","$66,490","+/- $263","$35,572","+/- $420","$41,676","+/- $3,519","$82,605","+/- $1,181","$61,832","+/- $12,920","$48,036","+/- $915","$52,142","+/- $1,760"
"Indiana","$54,951","+/- $256","$32,163","+/- $516","$38,913","+/- $2,826","$59,361","+/- $2,836","$42,125","+/- $14,362","$39,314","+/- $1,861","$40,479","+/- $1,698"
"Iowa","$57,950","+/- $290","$30,505","+/- $1,219","$33,382","+/- $2,612","$60,624","+/- $2,619","$39,940","+/- $10,329","$46,293","+/- $2,581","$40,376","+/- $3,732"
"Kansas","$57,594","+/- $434","$34,664","+/- $1,173","$41,807","+/- $4,590","$65,462","+/- $2,591","$50,227","+/- $16,136","$44,681","+/- $2,257","$44,224","+/- $2,233"
"Kentucky","$48,228","+/- $313","$32,160","+/- $557","$30,761","+/- $3,953","$61,730","+/- $2,112","$45,781","+/- $11,596","$35,432","+/- $2,943","$38,877","+/- $3,052"
"Louisiana","$57,109","+/- $438","$28,743","+/- $431","$41,645","+/- $2,987","$58,158","+/- $4,449","$44,141","+/- $11,602","$36,917","+/- $2,005","$41,387","+/- $2,393"
"Maine","$53,585","+/- $511","$28,018","+/- $5,653","$32,372","+/- $5,925","$53,151","+/- $6,137","$36,685","+/- $21,960","$56,344","+/- $10,760","$38,839","+/- $2,928"
"Maryland","$87,851","+/- $486","$62,827","+/- $531","$63,934","+/- $10,843","$100,496","+/- $1,650","$79,440","+/- $15,454","$61,928","+/- $1,450","$74,322","+/- $2,123"
"Massachusetts","$78,696","+/- $435","$46,196","+/- $1,260","$40,986","+/- $6,814","$86,965","+/- $2,309","$83,778","+/- $21,595","$36,766","+/- $970","$57,730","+/- $2,186"
"Michigan","$56,601","+/- $192","$32,163","+/- $294","$40,486","+/- $1,790","$79,096","+/- $1,812","$49,606","+/- $5,137","$40,556","+/- $1,594","$40,801","+/- $1,139"
"Minnesota","$68,530","+/- $304","$32,743","+/- $1,083","$36,017","+/- $1,633","$71,865","+/- $1,486","$57,083","+/- $34,965","$42,476","+/- $1,978","$52,522","+/- $2,042"
"Mississippi","$52,159","+/- $391","$28,347","+/- $541","$32,088","+/- $3,042","$55,647","+/- $2,639","$31,680","+/- $21,270","$39,128","+/- $4,978","$37,607","+/- $2,752"
"Missouri","$54,412","+/- $257","$34,948","+/- $622","$40,985","+/- $5,223","$64,020","+/- $2,841","$36,726","+/- $21,169","$35,676","+/- $1,654","$41,146","+/- $1,536"
"Montana","$52,030","+/- $530","$31,352","+/- $9,140","$31,277","+/- $1,236","$55,648","+/- $7,223","$30,000","+/- $14,343","$51,600","+/- $13,928","$38,222","+/- $3,299"
"Nebraska","$59,039","+/- $453","$31,523","+/- $1,230","$34,962","+/- $4,477","$53,106","+/- $2,376","$45,921","+/- $18,584","$44,938","+/- $2,360","$40,632","+/- $3,421"
"Nevada","$58,885","+/- $466","$38,846","+/- $1,352","$41,749","+/- $2,359","$63,326","+/- $1,590","$52,361","+/- $5,544","$43,540","+/- $1,217","$54,688","+/- $2,960"
"New Hampshire","$71,699","+/- $763","$50,424","+/- $7,334","$47,882","+/- $7,312","$79,900","+/- $4,213","$116,042","+/- $71,701","$47,524","+/- $10,675","$52,971","+/- $7,964"
"New Jersey","$82,608","+/- $373","$48,978","+/- $797","$44,146","+/- $7,639","$111,651","+/- $1,900","$48,311","+/- $17,367","$45,582","+/- $734","$63,724","+/- $2,665"
"New Mexico","$49,659","+/- $564","$41,379","+/- $2,157","$31,947","+/- $812","$61,860","+/- $4,595","$47,128","+/- $20,748","$34,879","+/- $1,060","$47,055","+/- $2,451"
"New York","$70,712","+/- $285","$43,997","+/- $429","$40,043","+/- $2,284","$68,567","+/- $1,019","$42,867","+/- $7,239","$38,290","+/- $603","$54,078","+/- $1,137"
"North Carolina","$55,636","+/- $298","$35,690","+/- $299","$36,833","+/- $1,480","$76,348","+/- $2,387","$47,842","+/- $10,563","$35,688","+/- $765","$44,802","+/- $2,251"
"North Dakota","$63,732","+/- $874","$30,500","+/- $4,676","$31,725","+/- $3,358","$58,250","+/- $14,923","$X","X","$55,463","+/- $6,822","$47,007","+/- $6,287"
"Ohio","$56,395","+/- $194","$30,575","+/- $312","$34,326","+/- $2,458","$71,414","+/- $1,867","$40,543","+/- $17,059","$38,405","+/- $1,576","$38,087","+/- $1,207"
"Oklahoma","$52,774","+/- $292","$32,185","+/- $720","$40,846","+/- $619","$56,353","+/- $2,208","$42,456","+/- $3,836","$40,108","+/- $1,115","$44,487","+/- $1,038"
"Oregon","$57,026","+/- $398","$33,143","+/- $3,282","$40,296","+/- $2,205","$72,402","+/- $1,911","$45,149","+/- $9,472","$46,146","+/- $1,916","$48,161","+/- $2,436"
"Pennsylvania","$60,591","+/- $205","$35,349","+/- $429","$36,898","+/- $3,300","$69,664","+/- $1,744","$50,625","+/- $12,581","$34,531","+/- $1,251","$42,301","+/- $1,433"
"Puerto Rico","$20,529","+/- $249","$19,138","+/- $524","$21,169","+/- $2,727","$14,842","+/- $1,790","$X","X","$16,936","+/- $444","$21,334","+/- $806"
"Rhode Island","$65,182","+/- $762","$38,368","+/- $3,173","$26,995","+/- $4,508","$69,090","+/- $7,133","$42,336","+/- $13,569","$33,697","+/- $2,461","$41,826","+/- $4,977"
"South Carolina","$56,174","+/- $338","$31,960","+/- $293","$37,486","+/- $6,603","$59,800","+/- $3,100","$32,500","+/- $6,048","$35,380","+/- $1,709","$41,749","+/- $2,506"
"South Dakota","$56,820","+/- $593","$32,192","+/- $5,530","$26,847","+/- $1,590","$46,533","+/- $5,388","$55,809","+/- $30,621","$40,800","+/- $10,933","$41,606","+/- $5,116"
"Tennessee","$51,801","+/- $223","$35,371","+/- $454","$40,934","+/- $5,261","$69,802","+/- $2,600","$36,838","+/- $11,538","$34,231","+/- $2,174","$40,152","+/- $1,490"
"Texas","$60,322","+/- $191","$42,401","+/- $332","$50,793","+/- $1,930","$82,507","+/- $817","$51,808","+/- $4,937","$42,456","+/- $476","$54,180","+/- $1,262"
"Utah","$67,070","+/- $384","$40,536","+/- $3,438","$41,569","+/- $3,156","$67,005","+/- $4,095","$59,421","+/- $7,045","$45,580","+/- $1,250","$56,187","+/- $2,357"
"Vermont","$58,244","+/- $768","$41,553","+/- $4,319","$40,585","+/- $8,451","$54,639","+/- $4,956","$X","X","$54,960","+/- $24,472","$43,333","+/- $6,418"
"Virginia","$73,982","+/- $329","$47,246","+/- $510","$59,659","+/- $5,910","$99,829","+/- $1,839","$85,502","+/- $5,820","$55,081","+/- $1,879","$70,309","+/- $1,516"
"Washington","$67,533","+/- $330","$47,057","+/- $1,391","$42,804","+/- $1,582","$83,643","+/- $1,575","$60,714","+/- $3,612","$46,243","+/- $1,205","$59,086","+/- $1,779"
"West Virginia","$44,580","+/- $464","$31,939","+/- $1,617","$24,271","+/- $6,421","$56,701","+/- $6,327","$31,186","+/- $23,049","$33,318","+/- $13,859","$34,401","+/- $4,017"
"Wisconsin","$59,534","+/- $247","$29,081","+/- $748","$39,624","+/- $1,398","$64,367","+/- $2,050","$39,009","+/- $13,612","$40,000","+/- $1,867","$44,077","+/- $2,163"
"Wyoming","$61,801","+/- $892","$43,091","+/- $7,202","$46,826","+/- $4,578","$45,283","+/- $10,629","$X","X","$45,102","+/- $5,393","$51,919","+/- $5,611"
"Source(s): U.S. Census Bureau, 2013-2017 American Community Survey 5-Year Estimates
 Powered by the U.S. Census Bureau
 Data may contain sampling error. Sampling error and margin of errormay render some of the differences between geographies statistically insignificant.An 'X' entry indicates that either no sample observations or too few sample observations were available to compute an estimate.Note that an 'X' entry in other US Census Bureau tables could indicate a different issue.
  ","","","","","","","","","","","","","",""
